Timestamp,x,y,z,alpha,beta,gamma,keyPressed,key_x,key_y,key_down,key_released
112124576441615,0.012046814,0.008864574,0.37170458,-0.07594299,0.07675171,-0.017242432,KEYCODE_4,321.0,713.0,105916063,105916138
112125135371058,0.016646385,0.014719285,0.43211937,-0.09674072,0.0952301,0.010009766,KEYCODE_1,278.0,576.0,105916654,105916711
112125709406703,0.03266239,0.17317893,0.20068312,0.1532898,-0.06692505,-0.039016724,KEYCODE_6,1419.0,746.0,105917186,105917235
112126233088343,0.07838154,0.057128437,0.4005475,0.15757751,-0.10432434,-0.018814087,KEYCODE_9,1374.0,887.0,105917701,105917767
112126761805384,-0.045428276,-0.03650693,0.41742945,-0.04270935,0.043777466,-0.012023926,KEYCODE_4,314.0,731.0,105918233,105918299
112127295557826,-0.026096344,-0.09085588,0.1398449,-0.08811951,0.07168579,0.010955811,KEYCODE_1,275.0,580.0,105918832,105918897
112127894770472,0.04537773,-0.11558797,0.35076618,0.20924377,-0.090408325,-0.025939941,KEYCODE_9,1365.0,869.0,105919364,105919438
112128438593714,0.0032596588,0.0720752,-0.051259518,0.1782074,-0.078063965,-0.018325806,KEYCODE_8,991.0,869.0,105919937,105920003
112129002558558,-0.0030155182,-0.008432999,0.34685516,0.15322876,-0.0934906,-0.042648315,KEYCODE_3,1476.0,560.0,105920502,105920568
112129561488001,0.030656815,0.09230614,-0.092300415,0.12588501,-0.05987549,-0.008346558,KEYCODE_8,1041.0,881.0,105921060,105921125
112130120417445,0.04477501,-0.018237934,0.39499235,0.14356995,-0.103500366,-0.024276733,KEYCODE_9,1467.0,892.0,105921799,105921882
112130880762904,-0.021391869,0.00653895,0.41638374,-0.062057495,0.07058716,-0.0098724365,KEYCODE_1,232.0,581.0,105922465,105922555
112131555506556,0.020168304,-0.1508223,0.41922045,0.24256897,-0.10157776,-0.040145874,KEYCODE_5,1030.0,730.0,105923088,105923154
112132149686021,-0.10528183,-0.046635285,0.37948084,-0.11061096,0.04763794,-0.00920105,KEYCODE_7,315.0,886.0,105923737,105923827
112132824429674,0.04694462,0.16286087,0.27907038,0.20599365,-0.042114258,-0.031784058,KEYCODE_5,1058.0,727.0,105924352,105924426
112133423642320,-0.049729347,0.009638824,0.2737627,-0.04296875,0.023345947,0.0024261475,KEYCODE_4,260.0,722.0,105925050,105925141
