id,Timestamp,x,y,z,a,b,c,alpha,beta,gamma,x_ra,y_ra,z_ra
8676,1485113696777,0.036443233,0.024982214,0.088857174,-0.015350342,0.0035552979,0.011505127,8.526459,-6.684989,38.41542,5.9245453,0.87939453,7.4494324
8677,1485113696782,0.029067516,-0.0051330924,0.05733204,-0.012573242,1.6784668E-4,0.009353638,8.529572,-6.67857,38.413383,5.9131775,0.8632202,7.4322205
8678,1485113696787,0.08060026,0.0072820783,0.11120844,-0.007675171,-0.0049591064,0.0072021484,8.529114,-6.6716857,38.412685,5.9532623,0.86621094,7.469223
8679,1485113696792,0.08671188,0.06651324,0.11285114,-0.0023040771,-0.008621216,0.0033569336,8.525238,-6.6669655,38.413616,5.969757,0.91619873,7.4824066
8680,1485113696797,0.11391306,0.028107285,0.0933609,0.0035858154,-0.010864258,-0.0015106201,8.519501,-6.668437,38.41562,5.99263,0.8996124,7.4685974
8681,1485113696803,0.09603262,0.0746907,0.03866434,0.011138916,-0.0131073,-0.003692627,8.508301,-6.6704907,38.420277,5.986496,0.9279785,7.4202576
8682,1485113696807,0.016841888,0.09226692,0.0104904175,0.016143799,-0.014419556,-0.0056610107,8.496796,-6.6783895,38.425793,5.918915,0.9532471,7.3857574
8683,1485113696813,0.004410267,0.08356273,-0.0032696724,0.019561768,-0.01373291,-0.0060577393,8.490753,-6.6899886,38.42963,5.894745,0.95085144,7.3687744
8684,1485113696817,0.029831886,0.11972326,-0.052301407,0.020141602,-0.015319824,-0.0060577393,8.497284,-6.7024455,38.433403,5.9143677,0.98117065,7.3247986
8685,1485113696822,-0.0063939095,0.091882765,-0.063111305,0.019241333,-0.016571045,-0.0051574707,8.486206,-6.7180743,38.439743,5.8890076,0.96580505,7.30632
8686,1485113696827,-0.05177307,0.08324057,-0.19421959,0.016571045,-0.014251709,-0.0024871826,8.475891,-6.7317653,38.445557,5.84787,0.9559326,7.200424
8687,1485113696836,-0.08715248,0.04669118,-0.13793707,0.0022125244,-0.006713867,0.0030670166,8.4253235,-6.7531343,38.45762,5.8304443,0.916626,7.254059
8688,1485113696842,-0.053687572,0.04380977,-0.10347986,-0.00642395,-0.0042266846,0.007232666,8.4184265,-6.7580094,38.460968,5.8150787,0.8917389,7.253006
8689,1485113696847,-0.07705259,0.015405834,-0.1095705,-0.013153076,-0.002090454,0.008758545,8.413452,-6.7577324,38.462883,5.8219604,0.93481445,7.2560883
8690,1485113696852,-0.064750195,0.070215106,-0.103901386,-0.020523071,9.765625E-4,0.011672974,8.4096985,-6.7580924,38.46441,5.790634,0.93626404,7.2464447
8691,1485113696857,-0.10203314,0.06350571,-0.11491203,-0.028427124,0.0031433105,0.015563965,8.381348,-6.7555885,38.464127,5.8412933,0.9391632,7.3198547
8692,1485113696862,-0.032696247,0.069164395,-0.02209282,-0.031921387,-1.5258789E-4,0.017303467,8.381897,-6.7486815,38.463017,5.8834686,0.8719177,7.3128967
8693,1485113696867,6.041527E-4,-0.0078080297,-0.050397873,-0.03503418,-0.002609253,0.01651001,8.373444,-6.736787,38.464798,5.8752594,0.85310364,7.391205
