id,Timestamp,x,y,z,a,b,c,alpha,beta,gamma
5434,13641032435878,0.025698185,-0.01970017,0.30240345,5.493164E-4,-0.030029297,-0.0074005127,245.82452,-7.796224,44.828094
5435,13641037044032,0.024612427,0.0344221,0.26776123,0.022949219,-0.0236969,-0.0074005127,245.80734,-7.799999,44.826824
5436,13641042018397,0.03549671,0.040173233,0.29235983,0.040542603,-0.010864258,-0.009246826,245.80472,-7.8099194,44.823685
5437,13641046992763,-0.014654636,0.17979842,0.096876144,0.055648804,-0.0020751953,-0.013092041,245.82755,-7.8366237,44.82129
5438,13641051997645,0.006708145,0.2869475,-0.2199254,0.067337036,-0.009628296,-0.016326904,245.87991,-7.8791504,44.82796
5439,13641056972011,0.084281445,0.35733837,-0.3071456,0.069107056,-0.033493042,-0.020843506,245.92918,-7.931857,44.84245
5440,13641062343104,0.037574768,0.29452395,-0.0881753,0.061935425,-0.05845642,-0.027236938,245.9834,-7.982753,44.855404
5441,13641066951259,-0.058852673,0.09344298,-0.15381956,0.053375244,-0.06767273,-0.032440186,246.01407,-8.016488,44.87286
5442,13641071956141,-0.05335903,-0.004588306,-0.23267317,0.045333862,-0.06135559,-0.034622192,246.03934,-8.045666,44.89713
5443,13641076930507,-0.08308554,-0.09451264,-0.20018578,0.036712646,-0.049484253,-0.03463745,246.03297,-8.066047,44.91762
5444,13641081935390,-0.08150053,-0.16926003,-0.2746091,0.03024292,-0.03817749,-0.030838013,246.03796,-8.07911,44.937954
5445,13641086909755,-0.11484575,-0.22187912,-0.30269718,0.025039673,-0.026229858,-0.022521973,246.03188,-8.090419,44.9702
5446,13641094539149,-0.11183405,-0.31766987,-0.21241045,0.017578125,-0.01171875,-0.010726929,246.008,-8.077769,44.977978
5447,13641099574550,-0.13201141,-0.39075398,0.053627968,0.007583618,0.0049591064,0.002609253,245.95047,-8.050872,44.97209
5448,13641104609950,-0.090330124,-0.19814795,0.31231546,-9.765625E-4,0.016448975,0.015548706,245.9017,-8.028613,44.9548
5449,13641109645350,-0.16234589,-0.001901269,0.22181702,-0.005004883,0.015838623,0.026779175,245.87576,-8.016747,44.937515
5450,13641114680751,-0.0997901,0.117379844,0.024040699,-0.0030670166,-0.0020751953,0.034683228,245.8856,-8.014277,44.93394
5451,13641119716151,-0.036520958,0.13205397,0.10991812,-0.0034942627,-0.03253174,0.038604736,245.88208,-8.011169,44.93925
5452,13641126826747,-0.02637577,0.066329,0.33266783,-0.011947632,-0.060699463,0.03666687,245.8645,-8.002119,44.94308
5453,13641129786952,-0.1370697,0.008304715,0.4736638,-0.016601563,-0.06590271,0.029205322,245.83243,-7.987345,44.941357
5454,13641134822352,-0.1423688,0.10123545,0.29192019,-0.0046081543,-0.046783447,0.021224976,245.82285,-7.9855304,44.94018
5455,13641139857753,0.027905464,0.14284205,0.06848192,0.019348145,-0.02180481,0.014328003,245.83432,-7.9964304,44.94556
5456,13641144893153,0.08871555,0.18557209,-0.004798889,0.03968811,-0.008010864,0.008529663,245.85773,-8.018215,44.950867
5457,13641149928554,0.06412506,0.16124773,-0.05622673,0.04953003,-0.0064086914,0.0052490234,245.88086,-8.04395,44.956493
5458,13641154963954,0.070351124,0.012136459,-0.08356094,0.05154419,-0.010559082,0.005004883,245.85095,-8.058388,44.96472
5459,13641159999354,0.08334112,-0.04594314,-0.03015232,0.046295166,-0.018157959,0.0074920654,245.84674,-8.067706,44.97411
5460,13641165034755,0.04400015,-0.09372187,-0.13982773,0.03804016,-0.026794434,0.010726929,245.83945,-8.071809,44.988724
5461,13641170070155,0.068284035,0.0032423735,-1.2065916,0.03224182,-0.041152954,0.015411377,245.89243,-8.091089,45.045517
