DownTime,EventTime,Keypress
13561922000000,13562005000000,KEYCODE_1
13562480000000,13562521000000,KEYCODE_3
13562931000000,13562997000000,KEYCODE_5
13563539000000,13563630000000,KEYCODE_0
13564064000000,13564122000000,KEYCODE_6
13564539000000,13564605000000,KEYCODE_8
13565065000000,13565131000000,KEYCODE_6
13565540000000,13565631000000,KEYCODE_4
13566082000000,13566139000000,KEYCODE_2
13566582000000,13566648000000,KEYCODE_8
13567099000000,13567165000000,KEYCODE_5
13567624000000,13567707000000,KEYCODE_0
13568191000000,13568240000000,KEYCODE_3
13568666000000,13568757000000,KEYCODE_1
13569191000000,13569291000000,KEYCODE_7
13569725000000,13569808000000,KEYCODE_9
13570284000000,13570358000000,KEYCODE_3
13570767000000,13570858000000,KEYCODE_8
13571301000000,13571392000000,KEYCODE_7
13571867000000,13571925000000,KEYCODE_1
13572351000000,13572450000000,KEYCODE_6
13572893000000,13572967000000,KEYCODE_9
13573418000000,13573509000000,KEYCODE_4
13573969000000,13574068000000,KEYCODE_0
13574569000000,13574627000000,KEYCODE_2
13575086000000,13575143000000,KEYCODE_5
13575594000000,13575660000000,KEYCODE_6
13576145000000,13576236000000,KEYCODE_7
13576728000000,13576786000000,KEYCODE_8
13577345000000,13577394000000,KEYCODE_3
13577820000000,13577911000000,KEYCODE_4
13578404000000,13578470000000,KEYCODE_2
13578937000000,13579020000000,KEYCODE_1
13579504000000,13579595000000,KEYCODE_0
13580030000000,13580079000000,KEYCODE_9
13580513000000,13580571000000,KEYCODE_5
13581072000000,13581121000000,KEYCODE_3
13581572000000,13581638000000,KEYCODE_9
13582097000000,13582180000000,KEYCODE_4
13582631000000,13582697000000,KEYCODE_2
13583156000000,13583239000000,KEYCODE_0
13583732000000,13583831000000,KEYCODE_7
13584265000000,13584323000000,KEYCODE_8
13584765000000,13584831000000,KEYCODE_6
13585282000000,13585365000000,KEYCODE_1
13585799000000,13585865000000,KEYCODE_5
13586316000000,13586366000000,KEYCODE_1
13586867000000,13586949000000,KEYCODE_9
13587375000000,13587425000000,KEYCODE_8
13587917000000,13587975000000,KEYCODE_3
13588434000000,13588492000000,KEYCODE_5
13588959000000,13589051000000,KEYCODE_4
13589560000000,13589634000000,KEYCODE_7
13590127000000,13590201000000,KEYCODE_0
13590694000000,13590760000000,KEYCODE_2
13591344000000,13591418000000,KEYCODE_6
13591810000000,13591902000000,KEYCODE_9
13592436000000,13592510000000,KEYCODE_3
13593011000000,13593110000000,KEYCODE_7
13593586000000,13593661000000,KEYCODE_1
13594070000000,13594153000000,KEYCODE_0
13594620000000,13594653000000,KEYCODE_6
13595129000000,13595186000000,KEYCODE_2
13595646000000,13595728000000,KEYCODE_4
13596254000000,13596320000000,KEYCODE_8
13596821000000,13596887000000,KEYCODE_5
