Timestamp,x,y,z,a,b,c,alpha,beta,gamma
1482277609732,-0.023393631,0.08320862,0.011672974,0.019012451,0.0015563965,-8.239746E-4,167.2992,11.399971,-71.50946
1482277609737,-0.0113687515,0.068033695,0.006873369,0.02053833,0.0019226074,2.89917E-4,167.28192,11.383692,-71.51046
1482277609743,0.0028905869,0.09549981,-0.03572893,0.021102905,4.4250488E-4,-3.9672852E-4,167.25476,11.364729,-71.51293
1482277609747,0.0075731277,0.09914613,-0.08038354,0.01977539,-8.8500977E-4,-3.9672852E-4,167.23303,11.346649,-71.517136
1482277609752,0.005145073,0.050814748,-0.09867382,0.019348145,-4.7302246E-4,3.0517578E-5,167.21863,11.336285,-71.52193
1482277609760,0.033452988,0.02880323,-0.100209236,0.01789856,9.765625E-4,0.001083374,167.20709,11.328708,-71.52668
1482277609762,0.04500866,-0.0024285316,-0.06629372,0.015380859,0.0019226074,0.0021362305,167.19287,11.325657,-71.52957
1482277609767,0.025785446,0.006744683,-0.11998606,0.011062622,0.0017089844,0.0028076172,167.18561,11.323182,-71.535355
1482277609773,0.027980804,0.02304405,-0.107067585,0.004714966,0.0027770996,0.0023498535,167.1781,11.320289,-71.54094
1482277609777,-0.007616043,0.025238097,-0.12491989,-0.0033416748,0.00289917,7.7819824E-4,167.17334,11.32123,-71.54781
1482277609782,0.013742447,0.013395429,-0.11661363,-0.009994507,0.0033111572,-3.9672852E-4,167.16382,11.326532,-71.55397
1482277609786,0.034953117,0.02297908,-0.12007141,-0.014175415,0.004928589,-3.9672852E-4,167.16425,11.33239,-71.5606
1482277609793,0.03000164,-0.035950303,-0.071620226,-0.018447876,0.004562378,-3.9672852E-4,167.17499,11.34598,-71.56421
1482277609797,0.013256073,-0.004654646,-0.10156608,-0.020812988,0.0018005371,1.373291E-4,167.18103,11.355981,-71.569115
1482277609802,-0.008111954,-0.046836257,-0.03224945,-0.018676758,-9.0026855E-4,1.373291E-4,167.18579,11.369093,-71.57004
1482277609809,-0.0057458878,-0.05799979,0.0032866,-0.015426636,-0.004196167,-3.9672852E-4,167.20007,11.381865,-71.56828
1482277609812,-0.008183479,-0.03844744,0.061928988,-0.0126953125,-0.008514404,1.8310547E-4,167.21063,11.387937,-71.562904
1482277609817,0.0035133362,-0.028589845,0.07270217,-0.0095825195,-0.011047363,0.0012207031,167.21832,11.38991,-71.556015
1482277609822,0.031672478,-0.028389275,0.05278206,-0.004119873,-0.010467529,0.0023040771,167.19373,11.390344,-71.55027
1482277609826,-0.011221886,0.011815667,0.054240465,0.0025177002,-0.010040283,0.0028076172,167.18958,11.382243,-71.54546
1482277609831,-0.013653755,-3.6865473E-4,0.06739354,0.009140015,-0.011749268,0.0034332275,167.18512,11.373009,-71.53953
1482277609837,-0.0018987656,-0.005472839,0.002525568,0.014175415,-0.011383057,0.0038757324,167.17926,11.364609,-71.53638
1482277609841,-0.018554688,-0.027082264,0.07042861,0.017425537,-0.010498047,0.0032348633,167.14862,11.357139,-71.53046
1482277609846,-0.0044145584,-0.046198428,0.014916658,0.01991272,-0.01171875,0.0028076172,167.14807,11.353036,-71.52612
