"id","Timestamp","alpha","beta","gamma","SqSumA","SqSumG","SqSumO","MagnA","MagnG","MagnO","XdeltaA","YdeltaA","ZdeltaA","XdeltaG","YdeltaG","ZdeltaG","belongsToKey","xA","yA","zA","xG","yG","zG"
7217,19849721622330,245.3759,-8.896722,64.14262,0.00817871590362451,0.00143693479712744,64402.7596636197,0.0904362532595447,0.0379069228126926,253.776988049783,0.050158497,-0.029138029,0.021819115,-0.0056610107,-0.001144408,0.001281738,FALSE,0.07118034,0.003569007,0.055671692,0.0073547363,0.036010742,-0.009277344
7218,19849726657731,245.34875,-8.898712,64.1291,0.0103414071345491,0.00127599435987201,64387.7376686314,0.101692709348061,0.0357210632522607,253.747389481412,-0.032916065,0.004263461,0.038221358,-0.0053863525,-0.001571655,0,FALSE,0.038264275,0.007832468,0.09389305,0.0019683838,0.034439087,-0.009277344
7219,19849731693131,245.34216,-8.89501,64.115,0.0174363562570119,0.00105147397474141,64382.6299013657,0.132046795708991,0.0324264394397753,253.737324612217,-0.011465073,-0.031049133,0.03330422,-0.0043792725,-0.003173827,0.001022339,FALSE,0.026799202,-0.023216665,0.12719727,-0.0024108887,0.03126526,-0.008255005
7220,19849736728532,245.32484,-8.882391,64.10189,0.034044645355085,0.000745418002925253,64372.2262924746,0.184511911146909,0.0273023442752679,253.716823037958,0.016844748,-0.061345935,0.03088188,-0.003250122,-0.005386354,0.0016479493,FALSE,0.04364395,-0.0845626,0.15807915,-0.0056610107,0.025878906,-0.0066070557
7221,19849741763932,245.3127,-8.87261,64.08921,0.0295515015532844,0.00059661758161056,64364.4708279262,0.171905501812142,0.0244257565207418,253.701538875755,-0.00222969,0.03129542,3.14700000000057e-05,-0.0036163333,-0.004257202,4.57764000000001e-05,FALSE,0.04141426,-0.05326718,0.15811062,-0.009277344,0.021621704,-0.0065612793
7222,19849746799332,245.30408,-8.858218,64.07725,0.0355485848099677,0.000536413168576884,64358.4536583444,0.188543323429836,0.0231605951688829,253.689679842016,-0.0424747458,-0.03260571,0.00973843999999999,-0.003295898,-0.003158569,0.000442504900000001,FALSE,-0.0010604858,-0.08587289,0.16784906,-0.012573242,0.018463135,-0.0061187744
7223,19849751834733,245.28725,-8.842789,64.06778,0.0313382411486961,0.00049652833947475,64348.7103639894,0.177026103015053,0.0222829158656301,253.670475940716,0.0522632598,0.00559079999999999,-0.01861333,-0.003356934,-0.003372193,0.002243042,FALSE,0.051202774,-0.08028209,0.14923573,-0.015930176,0.015090942,-0.0038757324
7224,19849756870133,245.2641,-8.821625,64.05778,0.0401367676381232,0.000578737345374823,64335.698994979,0.20034162732224,0.0240569604350762,253.644828441226,-0.026124001,-0.024944665,0.01939153,-0.004318237,-0.002151489,0.0027313232,FALSE,0.025078773,-0.105226755,0.16862726,-0.020248413,0.012939453,-0.0011444092
7225,19849761905534,245.24277,-8.799738,64.05148,0.0235138280083674,0.000667890512213173,64324.043716332,0.153342192524978,0.0258435777750135,253.621851811574,-1.04899999999984e-05,-0.000987765000000002,-0.06090593,-0.003738403,-0.003326416,0.00148010256,FALSE,0.025068283,-0.10621452,0.10772133,-0.023986816,0.009613037,0.00033569336
7226,19849766940934,245.22693,-8.77354,64.0477,0.025975852475354,0.000717508147226095,64315.3300766465,0.16117025927681,0.0267863425503762,253.604672821,-0.002451897,-0.03155595,-0.02720022,-0.002059937,-0.003738403,0.00180053714,FALSE,0.022616386,-0.13777047,0.08052111,-0.026046753,0.005874634,0.0021362305
7227,19849771976334,245.20787,-8.751301,64.045166,0.0118125662263398,0.000710008890361381,64305.2680670971,0.108685630266102,0.0266459920130848,253.584834063666,-0.007249832,0.05626684,-0.010281566,9.15529999999977e-05,-0.0042266848,0.0036621095,FALSE,0.015366554,-0.08150363,0.070239544,-0.0259552,0.0016479492,0.00579834
7228,19849777011735,245.18451,-8.7265625,64.04557,0.0178084429837254,0.000706210014963794,64293.4318736314,0.133448278309334,0.0265746122260287,253.561495250425,-0.061570167,-0.04341525,-0.061936379,0.000518799,-0.0042724609,0.001434326,FALSE,-0.046203613,-0.12491888,0.008303165,-0.025436401,-0.0026245117,0.007232666
7229,19849782047135,245.16238,-8.703095,64.04616,0.0167645846118241,0.000583963458270073,64282.247040589,0.12947812406667,0.0241653358815902,253.539438826761,0.073439598,0.011198105,0.047287941,0.0025177,-0.0027160643,-0.001739502,FALSE,0.027235985,-0.113720775,0.055591106,-0.022918701,-0.005340576,0.005493164
7230,19849789066178,245.14117,-8.685483,64.04925,0.0102057661740866,0.000336882408146024,64271.9372694747,0.101023592165823,0.0183543566530136,253.519106320361,-0.054651261,0.02040118,-0.082897186,0.006240845,-0.000228882000000001,-0.000228882,FALSE,-0.027415276,-0.093319595,-0.02730608,-0.016677856,-0.005569458,0.005264282
7231,19849792117936,245.1242,-8.669675,64.04981,0.0135604368833642,0.000161208213832855,64263.4148512817,0.116449288891621,0.0126967796638697,253.502297526633,-0.049476624,0.00594961500000001,0.031121731,0.006912231,-0.000228882,0.0004119875,FALSE,-0.0768919,-0.08736998,0.003815651,-0.009765625,-0.00579834,0.0056762695
7232,19849797153336,245.12057,-8.664745,64.05449,0.00639193551896119,0.000133538858660102,64262.1493322,0.0799495811056017,0.0115559014646241,253.499801444104,0.031123162,0.060006441,-0.063384056,0.0058288574,-0.004425049,-0.0019989013,FALSE,-0.045768738,-0.027363539,-0.059568405,-0.0039367676,-0.010223389,0.0036773682
7233,19849802188737,245.12247,-8.665075,64.06587,0.0250969877709568,0.000327683295915484,64264.5445225134,0.15842028838175,0.0181020246358103,253.504525645033,0.00944805200000001,-0.006853103,-0.090787895,0.0076751709,-0.007446289,-0.0024566651,FALSE,-0.036320686,-0.034216642,-0.1503563,0.0037384033,-0.017669678,0.0012207031
7234,19849807224137,245.1686,-8.668933,64.07748,0.012936106524209,0.000836522083077588,64288.7162684689,0.113737005957643,0.0289226914908967,253.552196339272,0.0305156704,0.007155478,0.040038116,0.0079040527,-0.008804321,-0.00154113767,FALSE,-0.0058050156,-0.027061164,-0.110318184,0.011642456,-0.026473999,-0.00032043457
7235,19849812259537,245.17984,-8.679583,64.094376,0.0503036532546445,0.00121337945983827,64296.5781383089,0.224284759300859,0.0348335967111964,253.567699319746,-0.0595884344,0.016363501,-0.103954796,0.003845215,-0.004653931,-0.00181579593,FALSE,-0.06539345,-0.010697663,-0.21427298,0.015487671,-0.03112793,-0.0021362305
7236,19849818942887,245.20523,-8.700885,64.11065,0.0753660776523953,0.000891204256219363,64311.4856625586,0.274528828454127,0.0298530443375439,253.597093166619,-0.02124214,0.087013903,-0.03479766,1.52590000000001e-05,0.005706787,-1.52588e-05,FALSE,-0.08663559,0.07631624,-0.24907064,0.01550293,-0.025421143,-0.0021514893
7237,19849822330338,245.21793,-8.7115345,64.12215,0.0512500536441273,0.000214657045544028,64319.3741474521,0.226384746933461,0.0146511789813663,253.612645874475,0.01226139,-0.062304976,0.03571128,-0.004730225,0.0155487065,0.0010833741,FALSE,-0.0743742,0.014011264,-0.21335936,0.010772705,-0.0098724365,-0.0010681152
7238,19849827365739,245.2774,-8.72488,64.12869,0.0447608689840595,0.000108408975369906,64349.6153628905,0.211567646354681,0.0104119630891541,253.672259742548,0.017183305,0.044493256,0.01825095,-0.001296997,0.0139312745,-0.0003967286,FALSE,-0.057190895,0.05850452,-0.19510841,0.009475708,0.004058838,-0.0014648438
