"DownTime","EventTime","Keypress","WindowSize","id"
1.3549521e+13,1.3549595e+13,"KEYCODE_6",14,412
1.3550096e+13,1.355017e+13,"KEYCODE_0",15,413
1.3550638e+13,1.3550695e+13,"KEYCODE_3",12,414
1.3551097e+13,1.3551154e+13,"KEYCODE_5",12,415
1.3551614e+13,1.3551705e+13,"KEYCODE_1",18,416
1.3552206e+13,1.355228e+13,"KEYCODE_2",14,417
1.3552765e+13,1.3552814e+13,"KEYCODE_9",10,418
1.355324e+13,1.3553348e+13,"KEYCODE_4",22,419
1.3553958e+13,1.3554049e+13,"KEYCODE_7",18,420
1.35545e+13,1.3554533e+13,"KEYCODE_9",7,421
1.3554992e+13,1.35551e+13,"KEYCODE_1",22,422
1.3555551e+13,1.3555609e+13,"KEYCODE_3",12,423
1.3556019e+13,1.3556085e+13,"KEYCODE_8",13,424
1.3556553e+13,1.3556652e+13,"KEYCODE_7",20,425
1.3557111e+13,1.3557169e+13,"KEYCODE_2",12,426
1.355762e+13,1.3557719e+13,"KEYCODE_0",20,427
1.3558154e+13,1.3558195e+13,"KEYCODE_5",8,428
1.3558629e+13,1.355867e+13,"KEYCODE_6",8,429
1.3559112e+13,1.3559212e+13,"KEYCODE_4",20,430
1.3559713e+13,1.3559804e+13,"KEYCODE_4",18,431
1.3560321e+13,1.3560396e+13,"KEYCODE_2",15,432
1.3560821e+13,1.3560921e+13,"KEYCODE_9",20,433
1.3561413e+13,1.3561488e+13,"KEYCODE_7",15,434
1.3561922e+13,1.3562005e+13,"KEYCODE_1",16,435
1.356248e+13,1.3562521e+13,"KEYCODE_3",9,436
