Timestamp,x,y,z,alpha,beta,gamma,keyPressed,key_x,key_y
1481470251118,0.09578037,0.03679192,0.066152096,0.054244995,-0.0126953125,0.025131226,null,0,0
1481470251123,0.19406033,0.05823356,-0.06704092,0.054275513,-0.009521484,0.02279663,null,0,0
1481470251128,0.20195484,0.1530348,-0.21756816,0.048355103,-0.0014343262,0.018966675,null,0,0
1481470251133,0.20753193,0.1248838,-0.25549388,0.035324097,0.0082092285,0.011932373,null,0,0
1481470251138,0.2673521,0.15900391,-0.30955315,0.021636963,0.0119018555,0.002319336,null,0,0
1481470251143,0.21087837,0.16512161,-0.3847046,0.009185791,0.0071868896,-0.0071258545,null,0,0
1481470251148,0.12871265,0.07258636,-0.32046127,-8.544922E-4,-0.0037078857,-0.015670776,null,0,0
1481470251153,0.013982773,0.021409065,-0.1416142,-0.008758545,-0.015457153,-0.02357483,null,0,0
1481470251158,-0.071600914,0.015783787,-0.11333084,-0.017089844,-0.02571106,-0.028274536,null,0,0
1481470251163,-0.10693169,0.010282308,-0.09480524,-0.019454956,-0.028930664,-0.02999878,null,0,0
1481470251168,-0.11835575,0.011773169,-0.114198446,-0.018173218,-0.028274536,-0.029159546,null,0,0
1481470251173,-0.058855057,0.05779487,-0.15940118,-0.016036987,-0.028930664,-0.024261475,null,0,0
1481470251179,-0.07771492,0.03220913,-0.15697098,-0.013900757,-0.027862549,-0.016586304,null,0,0
1481470251183,-0.06574726,0.013502002,-0.017753124,-0.011566162,-0.028030396,-0.008239746,null,0,0
1481470251189,-0.0846262,0.018131524,0.07522178,-0.007736206,-0.033172607,-7.6293945E-4,null,0,0
1481470251193,-0.04669857,0.008141965,0.09654045,-9.1552734E-4,-0.036193848,0.006286621,null,0,0
1481470251199,-0.037384987,-0.016295433,0.22866297,0.007217407,-0.034469604,0.011627197,null,0,0
1481470251203,0.007294655,-0.050289333,0.13313365,0.013412476,-0.033859253,0.01676941,null,0,0
1481470251208,0.037546158,-0.1290524,0.017442703,0.018554688,-0.029403687,0.02041626,null,0,0
1481470251213,0.07479763,-0.060863644,0.009433508,0.022003174,-0.019378662,0.021270752,null,0,0
1481470251219,0.074129105,-0.035648614,0.0019688606,0.02116394,-0.008255005,0.020858765,null,0,0
1481470251223,0.061800957,-0.024631321,0.009160042,0.017303467,5.0354004E-4,0.01852417,null,0,0
1481470251229,0.02603054,-0.037111074,-0.061401606,0.014755249,0.008041382,0.015319824,null,0,0
1481470251233,0.016456604,-0.042176127,-0.0017132759,0.010894775,0.005935669,0.0119018555,null,0,0
1481470251239,0.049324036,-0.03750509,0.13267279,0.008758545,-9.3078613E-4,0.0074005127,null,0,0
1481470251244,0.05348873,-0.051505566,0.05085945,0.0068359375,-0.008392334,0.0022888184,null,0,0
1481470251249,0.026913643,-0.06516498,-0.053900957,0.005554199,-0.010559082,-0.0019836426,null,0,0
1481470251254,0.0029535294,-0.07611713,0.017021418,0.0034179688,-0.008224487,-0.0062561035,null,0,0
1481470251259,0.045350075,-0.077335626,-0.025747538,8.69751E-4,-0.0046081543,-0.010116577,null,0,0
1481470251264,0.037867546,0.013673335,-0.077445984,-0.003189087,-9.1552734E-5,-0.012252808,null,0,0
1481470251269,0.020947456,-0.01393643,0.03165579,-0.005355835,-7.171631E-4,-0.014816284,null,0,0
1481470251274,-0.014842987,-0.0057725906,0.16310358,-0.0032196045,-0.008163452,-0.018859863,null,0,0
1481470251279,-0.03621483,-0.02117902,0.012438536,-0.0010986328,-0.0135650635,-0.021850586,null,0,0
1481470251284,0.00411129,0.05325976,-0.001989603,4.4250488E-4,-0.008224487,-0.023590088,null,0,0
1481470251289,-0.06906319,0.10352892,6.4992905E-4,-6.4086914E-4,0.0045928955,-0.023788452,null,0,0
1481470251294,-0.11333752,0.068425626,-0.015716553,-0.0014953613,0.005722046,-0.024658203,null,0,0
1481470251299,-0.10546875,0.009905577,-0.032423258,-0.001083374,-0.0028381348,-0.023803711,null,0,0
1481470251304,-0.13088799,0.015337944,0.03544092,0.0016784668,-0.015197754,-0.019546509,null,0,0
1481470251309,-0.08775997,0.0062909424,0.109433174,0.0068206787,-0.024856567,-0.015258789,null,0,0
1481470251314,-0.085181236,-0.040757865,0.01026845,0.011520386,-0.029769897,-0.010772705,null,0,0
1481470251319,-0.18651962,-0.17514938,0.1407609,0.017700195,-0.032958984,-0.0050354004,null,0,0
1481470251324,-0.14529228,-0.1341843,0.20899463,0.023269653,-0.032989502,0.0024719238,null,0,0
1481470251329,-0.02865982,-0.07508528,-0.043819666,0.029891968,-0.020385742,0.009521484,null,0,0
1481470251334,0.08476257,-0.007378906,0.20857906,0.037368774,-0.010559082,0.0146484375,null,0,0
1481470251340,0.072164536,0.038233727,0.17330933,0.044631958,-0.008636475,0.018707275,null,0,0
1481470251345,0.0833168,0.09033862,-0.022097588,0.050613403,-0.0071411133,0.021697998,null,0,0
1481470251349,0.08027363,0.09710026,-0.121285915,0.05404663,-0.0037231445,0.023208618,null,0,0
1481470251354,0.10091591,0.13226658,-0.14393139,0.05319214,3.3569336E-4,0.021713257,null,0,0
1481470251360,0.03404045,0.17678499,-0.10027814,0.048065186,0.0022735596,0.018936157,null,0,0
1481470251364,0.012511253,0.14319557,-0.20113897,0.039520264,-0.0011444092,0.018066406,null,0,0
1481470251369,0.040670395,0.13371095,-0.015686512,0.030761719,-0.005203247,0.017440796,null,0,0
1481470251374,0.002459526,0.09156042,-0.030140877,0.020507813,-0.007980347,0.014450073,null,0,0
1481470251380,-0.044855118,0.005204916,0.009918213,0.007904053,-0.0079956055,0.012313843,null,0,0
1481470251385,-0.04215908,0.023719162,0.023848057,-0.0032043457,-0.0041503906,0.009963989,null,0,0
1481470251390,-0.0795908,0.020969868,0.09912586,-0.011108398,-0.0022277832,0.0078125,null,0,0
1481470251395,-0.008096695,0.08669296,0.110122204,-0.015380859,-9.460449E-4,0.009521484,null,0,0
1481470251400,0.03690529,0.04798782,0.092900515,-0.015594482,0.0020446777,0.009735107,null,0,0
1481470251405,0.03211689,0.07094681,0.111680984,-0.016662598,0.009735107,0.010803223,null,0,0
1481470251410,0.036982536,0.07952657,0.071789026,-0.017318726,0.021697998,0.011657715,null,0,0
1481470251415,0.056056023,0.06674713,0.17410684,-0.015609741,0.028961182,0.011657715,null,0,0
1481470251420,-0.0099105835,0.14581591,-0.3214028,-0.008132935,0.032592773,0.01272583,null,0,0
1481470251425,0.21044064,0.029765248,-1.3294592,0.018997192,0.04156494,0.018493652,null,0,0
1481470251430,0.19248486,0.08635625,-0.35226846,0.06237793,0.034744263,0.024902344,null,0,0
1481470251435,0.07929611,0.097854555,0.24811602,0.057250977,-0.025283813,0.025772095,null,0,0
1481470251438,-0.09488964,-0.029555619,0.3579986,0.038650513,-0.075927734,0.021270752,KEYCODE_4,201,694
1481470251445,-0.14242363,-0.101338565,0.1887343,0.03135681,-0.07876587,0.016571045,null,0,0
1481470251450,0.020945549,-0.1747154,-0.289474,0.02494812,-0.053985596,0.0146484375,null,0,0
1481470251455,0.062913895,-0.096129715,-0.21027923,0.01751709,-0.027435303,0.012954712,null,0,0
1481470251461,-0.001531601,-0.079110265,0.02930355,0.004486084,-0.014831543,0.008468628,null,0,0
1481470251465,-0.022806168,-0.04049024,0.07617211,-0.013885498,-0.006500244,0.0035552979,null,0,0
1481470251471,-0.0059728622,-0.058390707,-0.0042905807,-0.031829834,0.0048217773,-7.6293945E-5,null,0,0
